objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_001,objects/walang-sugat-tolentino-philippin.jpg,,,Walang Sugat,Dennis Faustino,1991,"A romantic drama detailing the forbidden love between Tenyong and Julia, which is hindered by her mother's desire for her to marry a rich man, amidst the backdrop of war and national liberation",Theater,Cultural Center of the Philippines (CCP),14.557,120.9845,objects/walang-sugat-tolentino-philippin.jpg,RMQ-001,Image;StillImage,image/jpeg,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_002,performing_002.mp4,I52TcTRzUCE,,Malvarosa,Dr. Gregorio Fernandez,1958,"A dramatic thunderbolt that won Rebecca del Rio the Golden Harvest Award in the 5th Asian Film Festival. Here is a poverty stricken family who live right by the railroad tracks on the wrong side of them not by choice, but because destiny has willed it.",Film,"Manila, Philippines",14.5995,120.9842,https://youtu.be/I52TcTRzUCE?si=u7G4ohUs5k_Q8W_0,RMQ-002,MovingImage,video/mp4,Filipino,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_003,objects/img.webp,,,Ang Paglalakbay ni Radiya Mangandiri,Soxy Topacio,1993,"Subtitled Isang Pilipinong Ramayana, was based on an old Maranao version of the Indian epic. Peta production of it underlined the Philippines ancient cultural connections to the Asian heartland. According to scholar and playwright Nicanor Tiongson, Through imaginative use of ethnic movements and music, Peta Mangandiri succeeded in raising crucial questions about the nature and direction of leadership, seven years after the fall of the Philippine Lawana, the Marcos dictatorship in 1986.",Theater,Philippine Educational Theater Association (PETA),14.6202,121.0325,objects/img.webp,RMQ-003,Image;StillImage,image/jpeg,Filipino,In Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_004,performing_004.mp4,iGaTWLk2w7w,,Ang Larawan,Rolando Tinio,1997,"Rolando Tinio’s swan song was this play, a musical version of Nick Joaquin’s A Portrait of the Artist as Filipino, generally regarded as the most important Filipino play, now set to Ryan Cayabyab’s soaring, melancholy melodies, with translation and direction duties by Tinio himself. Celeste Legaspi played Candida, Zsa Zsa Padilla was Paula and Ricky Davao was Tony Javier; also in the cast were Hajji Alejandro, Louie Reyes, Fides Cuyugan Asencio, Armida Siguion-Reyna, Dawn Zulueta, Tinio died a few days before Larawan opening, making this essential musical his last masterwork.",Theater,Cultural Center of the Philippines (CCP),14.557,120.9845,https://youtu.be/iGaTWLk2w7w?si=tuTSLpxzlW8aX0me,RMQ-004,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_005,performing_005.jpg,,,Dalagang Bukid,"Felix ""Nonon"" Padilla",1987,"The collapse of the old order ushered in new configurations at Imelda’s old playground, the Cultural Center of the Philippines. The erstwhile resident theater companies, Rolando Tinio Teatro Pilipino and Tony Espejo’s Bulwagang Gantimpala, were eased out, replaced by a new company Tanghalang Pilipino, with Nonon Padilla as artistic director. TP inaugural show was a revival of the sarsuwela Dalagang Bukid, which reminded the public about pioneering sarsuwela queen Atang de la Rama, also the Philippines’ first film actress; that year, she would be conferred the National Artist Award for Theater.",Theater,Cultural Center of the Philippines (CCP),14.557,120.9845,objects/dalagang-bukid-ignacio-philippin.jpg,RMQ-005,Image;StillImage,image/jpeg,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_006,performing_006.mp4,KAHxsB3aXFY,,Balweg,Butch Perez,1987,A biographical action film centering on the life of Father Conrado Balweg and the revolutionary struggles in the Cordillera.,Film,"Cordillera Region, Philippines",17.025,121.15,https://www.youtube.com/watch?v=KAHxsB3aXFY,RMQ-006,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_007,performing_007.mp4,W3Dd0enh2j0,,Minsa'y Isang Gamu-Gamo,Soxy Tapacio,1991,"The 1976 Lupita Kashiwahara film, touching on the US bases and pervasive American influence, was transformed by Peta into a play that marked the theater debut of the movie’s original star, Nora Aunor at about the same time that the Philippine Senate was deliberating on and making the historic vote to kick out the American military presence in the country.",Theater,"Raha Sulayman Theater, Fort Santiago, Maynila",14.6202,121.0325,https://www.youtube.com/watch?v=W3Dd0enh2j0,RMQ-007,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_008,performing_008.mp4,,1383607793045491,Noli Me Tangere,"Felix ""Nonon"" Padilla",1995,"An operatic musical tracing the tragic homecoming of Crisostomo Ibarra, an idealistic young reformist who returns to the Philippines after studying in Europe. He seeks to build a modern school for his townspeople and marry his childhood sweetheart, Maria Clara. However, his noble efforts are systematically crushed by the tyrannical Friar Damaso, who frames Ibarra for an orchestrated anti-colonial rebellion. Stripped of his wealth, excommunicated from the church, and forced into a dangerous river escape with the fugitive Elias, Ibarra is left for dead. Maria Clara, believing her lover is killed and forced to hide a scandalous family secret, refuses an arranged marriage and locks herself away permanently inside a secluded convent.",Theater,Cultural Center of the Philippines (CCP),14.557,120.9845,https://www.facebook.com/RanArquiza/videos/paalam-na-pag-ibig-noli-me-tangere-regine-velasquez-plays-maria-clara-and-janno-/1383607793045491/,RMQ-008,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_009,performing_009.jpg,,,1896,Soxy Topacio,1995,"Peta’s thundering musical production, music by Lucien Letaba, libretto by Charley de la Paz, staged in the run-up to the Philippine centennial celebrations in 1998 and rerun a number of times after, starred Rody Vera as Andres Bonifacio, Ariel Rivera as Emilio Jacinto and Bodjie Pascua as Emilio Aguinaldo. It was, in the words of political commentator Manuel L. Quezon III, the highlight of the Centennial celebrations and a musical I wish would be constantly performed.",Theater,"UP Theater, UP Diliman Campus, Quezon City",14.6521,121.0664,objects/1869.jpg.jpg,RMQ-009,Image;StillImage,image/jpeg,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_010,performing_010.mp4,KmMlMor-OlY,,Rama at Sita,Leo Rialp,1999,"An independent production, Rama at Sita is still remembered by many theatergoers as the most lavish theater production they have ever seen. The musical, which combined the Cayabyab-Lumbera libretto from Ballet Philippines’ “Rama, Hari” with new music by Danny Tan, Roy Iglesias and Dodjie Simon, spared no expense, from its opulent costumes and sets. At one point, a full-size elephant ambled its way to the stage carrying a resplendent Rama, played by Ariel Rivera. To its star-studded cast that included Lani Misalucha, Raymond Lauchengco, Robert Seña, Jaya, Nonie Buencamino, Franco Laurel, Pinky Marquez.",Theater,"University Theater, University of the Philippines (UP), Diliman, Quezon City",14.6548,121.0684,https://youtu.be/KmMlMor-OlY?si=3VClD1PfYgDtORh4,RMQ-010,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_011,performing_011.jpg,,,Sakay,Raymond Red,1993,"An acclaimed historical film depicting the life of Macario Sakay, a general who fought in the Philippine-American War.",Film,"Los Baños, Laguna, Philippines",14.17,121.241,objects/sakay.jpg,RMQ-011,Image;StillImage,image/jpeg,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_012,performing_012.mp4,xx_gMne9bsU,,Matandang Dalaga,Olive La Torre,1954,"Carmen was about to get married and was on her way to church when Rosa Mia begged her not to go ahead with the wedding because Carmen was going to marry her husband, but the latter still insisted on his love for her fiancé until a letter was delivered saying that the wedding was no longer going ahead. Since then, Carmen has become so stubborn and distrustful of men that she even hinders the love between her sister Myrna Delgado and Ramon Revilla. Serialized in Bulaklak Magazine. ",Film,"New Manila, Quezon City, Philippines",14.62,121.02,https://www.youtube.com/watch?v=xx_gMne9bsU,RMQ-012,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_013,performing_013.mp4,j7ilmWDAIRE,,Balisong,Conrado Conde,1955,A deadly weapon in the hand of a fiery woman only one man could tame it’s fast-streaking fury.,Film,"Quezon City, Philippines",14.676,121.0437,https://www.youtube.com/watch?v=j7ilmWDAIRE,RMQ-013,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_014,performing_014.jpg,,,Sa Piling ng mga Sugapa,Gil Portes,1977,"A gritty social drama tackling contemporary domestic issues, directed by acclaimed filmmaker Gil Portes.",Film,"Manila, Philippines",14.5995,120.9842,objects/sugapa.jpg,RMQ-014,Image;StillImage,image/jpeg,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_015,performing_015.mp4,Rx_wKDkKwf0,,Hihintayin Kita,Artemio B. Tecson,1952,"A solider joins the guerilla and is tasked to woe the daughter of a man who has ties with Japanese forces and and gather intel but he falls in love with her. They both get married but the woman and her father gets into an accident, so the man leaves for Manila and falls in love with doctor. Fate lead the doctor and the woman to meet.",Film,"Quezon, Philippines",14.676,120.9842,https://www.youtube.com/watch?v=Rx_wKDkKwf0,RMQ-015,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_016,performing_016.mp4,TKyEtugcfdM,,"Bata, Bata Pa'no Ka Ginawa?",Chito S. Roño,1998,"Based on the acclaimed novel of Lualhati Bautista, this film looks into the life of women's rights advocate Lea Bustamante (Vilma Santos), who has two children from different fathers. She finds herself at a crossroads when her children's fathers propose taking their kids with them. She then decides to let her children choose who they want to stay with. Released in 1998 and directed by Chito S. Roño.",Film,"Manila, Philippines",14.5995,120.9842,https://www.youtube.com/watch?v=TKyEtugcfdM,RMQ-016,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_017,performing_017.jpg,,,Hubad na Bayani,Robert Arevalo,1977,"Hubad na Bayani explores the world of peasant revolts, cult organizations, talismans, and the fight for socio-economic reforms. The story revolves around Ruben a peasant who dreams of saving enough money to pay for the treatment of his sick mother, the education of his sister Pilar, as well as his own marriage to Luisa. His modest dreams are never realized as he and his family are exploited, harassed and victimized by the greedy landowners and loan sharks.",Film,Philippines,12.8797,121.774,objects/Hubad na Bayani- 77- Robert Arevalo-sf.jpg,RMQ-017,Image;StillImage,image/jpeg,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_018,performing_018.mp4,FlYo4a5FcDY,,Prinsesa Gusgusin,Carlos Vander Tolosa,1957,It’s a fairy tale romance when a modern Cinderella meets her handsome lover prince.,Film,"Quezon City, Philippines",14.676,121.0437,https://www.youtube.com/watch?v=FlYo4a5FcDY,RMQ-018,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_019,performing_019.jpg,,,Katy The Musical,Nestor U. Torre,1988,"The work of a raft of top-flight talent, music by Ryan Cayabyab, libretto by Jose Javier Reyes, direction by Nestor Torre, and lead performances by Mitch Valdes, Celeste Legaspi, Marco Sison and Bernardo Bernardo Katy! celebrated the life and legacy of bodabil queen Katy de la Cruz. The show, hailed by then Inquirer columnist (later editor in chief) Letty Jimenez Magsanoc as having created the prototype for the Filipino musical, birthed the now-classic anthem Minsan ang Minahal ay Ako.",Theater,"Rizal Theater, Makati",14.5547,121.0244,objects/katy.jpg,RMQ-019,Image;StillImage,image/jpeg,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_020,performing_020.mp4,DpCCHbWEDz4,,Maynila: Sa mga Kuko ng Liwanag,Lino Brocka,1975,"Julio Madiaga, a simple fisherman from the province, travels to Manila to find Ligaya, the woman he loves, after she went away with a mysterious woman promising a better future in the City. When he arrives, he becomes immersed in the city lifestyle and gets involved with its inhabitants experiencing extreme poverty, hard luck, and the overbearing need to grind for daily sustention. While Julio relentlessly searches for Ligaya, the city changes him little by little, becoming like an animal doomed to live only for survival in a wild jungle with no way out.",Film,"Manila, Philippines",14.5995,120.9842,https://www.youtube.com/watch?v=DpCCHbWEDz4,RMQ-020,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
demo_021,performing_021.mp4,G0iamk1N6ic,,Tumbalik na Daigdig,Tony Arnaldo,1953,"A story about a young architect and his friend who goes to the province to build a church Upon their arrival they notice something peculiar, it seems that the place was primarily inhabited by women they soon learn that it was due to most men enlisted and perished in the war. Lacking the manpower to build the church he started to hire women as construction workers, he then meets this particular woman.",Film,"Quezon City, Philippines",14.676,121.0437,https://www.youtube.com/watch?v=G0iamk1N6ic,RMQ-021,MovingImage,video/mp4,Filipino,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
